cell,model,tier,family,params_b,layer_pct,layer_index,n_train,n_cal,n_test,base_rate,auroc_train,auroc_cal,auroc_test,auroc_null_mean,auroc_null_p95,beats_null,auroc_surface,beats_surface,nonfinite_frac,meets_gate
qwen2.5-7b-instruct__R1,qwen2.5-7b-instruct,R1,retrieval,7.62,25,7,600,200,200,0.45166666666666666,1.0,0.791256157635468,0.7521306818181819,0.5011904761904762,0.6070710180623974,True,0.7989018883415435,False,0.0,True
qwen2.5-7b-instruct__R1,qwen2.5-7b-instruct,R1,retrieval,7.62,50,14,600,200,200,0.45166666666666666,1.0,0.8421592775041051,0.8295454545454546,0.5129926108374383,0.5715465927750409,True,0.7989018883415435,True,0.0,True
qwen2.5-7b-instruct__R1,qwen2.5-7b-instruct,R1,retrieval,7.62,75,21,600,200,200,0.45166666666666666,1.0,0.8496510673234812,0.8357853084415584,0.5054187192118227,0.5763546798029557,True,0.7989018883415435,True,0.0,True
qwen2.5-7b-instruct__R1,qwen2.5-7b-instruct,R1,retrieval,7.62,100,28,600,200,200,0.45166666666666666,1.0,0.832820197044335,0.770698051948052,0.5038331280788177,0.5721110426929393,True,0.7989018883415435,True,0.0,True
qwen2.5-7b-instruct__C1,qwen2.5-7b-instruct,C1,reasoning,7.62,0,0,600,200,200,0.5733333333333334,0.5087152525436046,0.4941176470588235,0.49615384615384617,0.5074705882352941,0.5176470588235293,False,0.6573913043478261,False,0.0,False
qwen2.5-7b-instruct__C1,qwen2.5-7b-instruct,C1,reasoning,7.62,25,7,600,200,200,0.5733333333333334,1.0,0.7143734015345268,0.7258241758241759,0.4860664961636828,0.5460767263427111,True,0.6573913043478261,True,0.0,True
qwen2.5-7b-instruct__C1,qwen2.5-7b-instruct,C1,reasoning,7.62,50,14,600,200,200,0.5733333333333334,1.0,0.7573401534526853,0.7439010989010988,0.49966751918158564,0.566915601023018,True,0.6573913043478261,True,0.0,True
qwen2.5-7b-instruct__C1,qwen2.5-7b-instruct,C1,reasoning,7.62,75,21,600,200,200,0.5733333333333334,1.0,0.7382608695652174,0.7754945054945056,0.4941202046035805,0.5614373401534527,True,0.6573913043478261,True,0.0,True
qwen2.5-7b-instruct__C1,qwen2.5-7b-instruct,C1,reasoning,7.62,100,28,600,200,200,0.5733333333333334,1.0,0.7049616368286444,0.7693406593406593,0.5091406649616369,0.58706905370844,True,0.6573913043478261,True,0.0,True
qwen2.5-7b-instruct__C2,qwen2.5-7b-instruct,C2,reasoning,7.62,0,0,600,200,200,0.53,0.5119541460368437,0.5210526315789474,0.4954545454545455,0.5098771929824562,0.5214561403508773,False,0.6148370927318296,False,0.0,False
qwen2.5-7b-instruct__C2,qwen2.5-7b-instruct,C2,reasoning,7.62,25,7,600,200,200,0.53,1.0,0.6563408521303258,0.6187878787878789,0.49564661654135345,0.5659924812030075,True,0.6148370927318296,True,0.0,True
qwen2.5-7b-instruct__C2,qwen2.5-7b-instruct,C2,reasoning,7.62,50,14,600,200,200,0.53,1.0,0.6653634085213033,0.6405050505050506,0.5002832080200502,0.5643809523809524,True,0.6148370927318296,True,0.0,True
qwen2.5-7b-instruct__C2,qwen2.5-7b-instruct,C2,reasoning,7.62,75,21,600,200,200,0.53,1.0,0.6825062656641604,0.6577777777777778,0.5038145363408522,0.567563909774436,True,0.6148370927318296,True,0.0,True
qwen2.5-7b-instruct__C2,qwen2.5-7b-instruct,C2,reasoning,7.62,100,28,600,200,200,0.53,1.0,0.6415037593984962,0.6523232323232323,0.5014185463659148,0.5500802005012531,True,0.6148370927318296,True,0.0,False
qwen2.5-7b-instruct__C3,qwen2.5-7b-instruct,C3,reasoning,7.62,0,0,600,200,200,0.20666666666666667,0.5181028056383844,0.5031055900621118,0.5030864197530864,0.5021739130434784,0.5322503583373148,False,0.6149068322981367,False,0.0,False
qwen2.5-7b-instruct__C3,qwen2.5-7b-instruct,C3,reasoning,7.62,25,7,600,200,200,0.20666666666666667,1.0,0.6687370600414079,0.6408382066276803,0.5157907310081224,0.5970536709667145,True,0.6149068322981367,True,0.0,True
qwen2.5-7b-instruct__C3,qwen2.5-7b-instruct,C3,reasoning,7.62,50,14,600,200,200,0.20666666666666667,1.0,0.5997770345596432,0.596816114359974,0.5170887083930561,0.56917502787068,True,0.6149068322981367,False,0.0,False
qwen2.5-7b-instruct__C3,qwen2.5-7b-instruct,C3,reasoning,7.62,75,21,600,200,200,0.20666666666666667,1.0,0.615066093326963,0.6374269005847953,0.5290969899665551,0.5853320592451028,True,0.6149068322981367,True,0.0,False
qwen2.5-7b-instruct__C3,qwen2.5-7b-instruct,C3,reasoning,7.62,100,28,600,200,200,0.20666666666666667,1.0,0.5562987736900781,0.6458739441195582,0.4992275840101927,0.561291606943781,False,0.6149068322981367,False,0.0,False
